case,step,Delta_s,engineering_shear_strain,reaction_N_energy,reference_area_mm2,reported_nominal_shear_stress_MPa,tau_MPa_recomputed,absolute_error_MPa,relative_error
S0070,1,3e-06,0.0003,0.0164080483955331,0.01,1.6408048395533117,1.6408048395533101,1.5543122344752192e-15,9.472864761286058e-16
S0070,2,5e-06,0.0005,0.0283190220216056,0.01,2.831902202160564,2.8319022021605598,4.440892098500626e-15,1.5681657703830673e-15
S0070,3,7e-06,0.0007,0.0402047153329476,0.01,4.020471533294767,4.02047153329476,7.105427357601002e-15,1.7673119430790051e-15
S0070,4,1e-05,0.001,0.0579610568820498,0.01,5.796105688204989,5.79610568820498,8.881784197001252e-15,1.532370987484853e-15
S0070,5,1.2e-05,0.0012,0.0697562500135973,0.01,6.975625001359731,6.975625001359729,1.7763568394002505e-15,2.54651997355648e-16
S0070,6,1.5e-05,0.0015,0.087407672253903,0.01,8.7407672253903,8.7407672253903,0.0,0.0
S0070,7,1.7e-05,0.0017,0.0990707630990073,0.01,9.90707630990073,9.907076309900729,1.7763568394002505e-15,1.7930182264014978e-16
S0070,8,2e-05,0.002,0.1164563145721331,0.01,11.645631457213312,11.645631457213309,3.552713678800501e-15,3.050683590540681e-16
S0070,9,2.2e-05,0.0021999999999999,0.1279345742659643,0.01,12.793457426596431,12.79345742659643,1.7763568394002505e-15,1.3884884907713582e-16
S0070,10,2.5e-05,0.0025,0.1450211711926385,0.01,14.502117119263858,14.502117119263849,8.881784197001252e-15,6.124474188119163e-16
S0070,11,2.7e-05,0.0026999999999999,0.1562394463689997,0.01,15.623944636899978,15.623944636899969,8.881784197001252e-15,5.684725850874194e-16
S0070,12,3e-05,0.003,0.1730065996525809,0.01,17.30065996525809,17.300659965258088,3.552713678800501e-15,2.0535133838447773e-16
S0070,13,3.2e-05,0.0031999999999999,0.1836774026742205,0.01,18.36774026742205,18.36774026742205,0.0,0.0
S0070,14,3.5e-05,0.0034999999999999,0.199937101569958,0.01,19.993710156995803,19.9937101569958,3.552713678800501e-15,1.7769156654286126e-16
S0070,15,3.7e-05,0.0036999999999999,0.2103413571603596,0.01,21.03413571603596,21.03413571603596,0.0,0.0
S0070,16,4e-05,0.004,0.226069416385144,0.01,22.6069416385144,22.6069416385144,0.0,0.0
S0070,17,4.2e-05,0.0042,0.2357595367357134,0.01,23.575953673571348,23.57595367357134,7.105427357601002e-15,3.0138451474674336e-16
S0070,18,4.5e-05,0.0045,0.2506029268261045,0.01,25.06029268261045,25.060292682610452,3.552713678800501e-15,1.4176664749273895e-16
S0070,19,4.7e-05,0.0046999999999999,0.2593893441371619,0.01,25.9389344137162,25.93893441371619,1.0658141036401503e-14,4.108935573993974e-16
S0070,20,5e-05,0.005,0.2728560357354581,0.01,27.285603573545814,27.285603573545806,7.105427357601002e-15,2.6040938909227283e-16
S0070,21,5.2e-05,0.0052,0.2806767588481307,0.01,28.06767588481307,28.06767588481307,0.0,0.0
S0070,22,5.5e-05,0.0055,0.2912730851676315,0.01,29.12730851676315,29.12730851676315,0.0,0.0
S0070,23,5.7e-05,0.0057,0.2953899675048888,0.01,29.53899675048888,29.538996750488877,3.552713678800501e-15,1.2027198177411703e-16
S0070,24,6e-05,0.006,0.299647421343252,0.01,29.964742134325206,29.9647421343252,7.105427357601002e-15,2.3712626411897584e-16
S0070,25,6.2e-05,0.0062,0.2990819921251386,0.01,29.908199212513864,29.908199212513857,7.105427357601002e-15,2.3757456298565867e-16
S0070,26,6.5e-05,0.0065,0.2969594206660986,0.01,29.69594206660986,29.69594206660986,0.0,0.0
S0070,27,6.7e-05,0.0067,0.2952559734694659,0.01,29.5255973469466,29.52559734694659,1.0658141036401503e-14,3.6097969199948186e-16
S0070,28,7e-05,0.0069999999999999,0.2943975268863141,0.01,29.43975268863141,29.43975268863141,0.0,0.0
S0070,29,7.2e-05,0.0072,0.2920836268458515,0.01,29.20836268458516,29.208362684585147,1.4210854715202004e-14,4.865337666702503e-16
S0070,30,7.5e-05,0.0074999999999999,0.2886884904000908,0.01,28.86884904000908,28.86884904000908,0.0,0.0
S0070,31,7.7e-05,0.0077,0.2821179223246872,0.01,28.211792232468724,28.211792232468717,7.105427357601002e-15,2.518601902017208e-16
S0070,32,8e-05,0.008,0.284379260847345,0.01,28.4379260847345,28.4379260847345,0.0,0.0
S0070,33,8.2e-05,0.0082,0.2775924804154783,0.01,27.759248041547835,27.759248041547828,7.105427357601002e-15,2.559661323306079e-16
S0070,34,8.4e-05,0.0084,0.2764971286524087,0.01,27.649712865240872,27.649712865240872,0.0,0.0
S0070,35,8.6e-05,0.0086,0.2686097286641598,0.01,26.860972866415977,26.860972866415977,0.0,0.0
S0070,36,8.8e-05,0.0087999999999999,0.2636931894812733,0.01,26.36931894812733,26.36931894812733,0.0,0.0
S0070,37,9e-05,0.009,0.2593241224531084,0.01,25.932412245310843,25.932412245310836,7.105427357601002e-15,2.7399793318054403e-16
S0070,38,9.2e-05,0.0092,0.2529610064812004,0.01,25.29610064812005,25.29610064812004,1.0658141036401503e-14,4.213353348273301e-16
S0070,39,9.4e-05,0.0093999999999999,0.2415713533991947,0.01,24.15713533991948,24.15713533991947,1.0658141036401503e-14,4.4120053501496953e-16
S0070,40,9.6e-05,0.0096,0.24103005125653,0.01,24.103005125653,24.103005125653,0.0,0.0
S0070,41,9.8e-05,0.0098,0.2378589560976252,0.01,23.78589560976252,23.78589560976252,0.0,0.0
S0070,42,0.0001,0.01,0.2307097456650808,0.01,23.070974566508085,23.070974566508077,7.105427357601002e-15,3.079812401126688e-16
S0090,0,1e-06,0.0001,0.0049372074499842,0.01,0.4937207449984271,0.49372074499842,7.105427357601002e-15,1.439159166306378e-14
S0090,1,3e-06,0.0003,0.0164080483955331,0.01,1.6408048395533117,1.6408048395533101,1.5543122344752192e-15,9.472864761286058e-16
S0090,2,5e-06,0.0005,0.0283190220216056,0.01,2.831902202160564,2.8319022021605598,4.440892098500626e-15,1.5681657703830673e-15
S0090,3,7e-06,0.0007,0.0402047153329476,0.01,4.020471533294767,4.02047153329476,7.105427357601002e-15,1.7673119430790051e-15
S0090,4,1e-05,0.001,0.0579610568820498,0.01,5.796105688204989,5.79610568820498,8.881784197001252e-15,1.532370987484853e-15
S0090,5,1.2e-05,0.0012,0.0697562500135973,0.01,6.975625001359731,6.975625001359729,1.7763568394002505e-15,2.54651997355648e-16
S0090,6,1.5e-05,0.0015,0.087407672253903,0.01,8.7407672253903,8.7407672253903,0.0,0.0
S0090,7,1.7e-05,0.0017,0.0990707630990073,0.01,9.90707630990073,9.907076309900729,1.7763568394002505e-15,1.7930182264014978e-16
S0090,8,2e-05,0.002,0.1164563145721331,0.01,11.645631457213312,11.645631457213309,3.552713678800501e-15,3.050683590540681e-16
S0090,9,2.2e-05,0.0021999999999999,0.1279345742659643,0.01,12.793457426596431,12.79345742659643,1.7763568394002505e-15,1.3884884907713582e-16
S0090,10,2.5e-05,0.0025,0.1450211711926385,0.01,14.502117119263858,14.502117119263849,8.881784197001252e-15,6.124474188119163e-16
S0090,11,2.7e-05,0.0026999999999999,0.1562394463689997,0.01,15.623944636899978,15.623944636899969,8.881784197001252e-15,5.684725850874194e-16
S0090,12,3e-05,0.003,0.1730065996525809,0.01,17.30065996525809,17.300659965258088,3.552713678800501e-15,2.0535133838447773e-16
S0090,13,3.2e-05,0.0031999999999999,0.1836774026742205,0.01,18.36774026742205,18.36774026742205,0.0,0.0
S0090,14,3.5e-05,0.0034999999999999,0.199937101569958,0.01,19.993710156995803,19.9937101569958,3.552713678800501e-15,1.7769156654286126e-16
S0090,15,3.7e-05,0.0036999999999999,0.2103413571603596,0.01,21.03413571603596,21.03413571603596,0.0,0.0
S0090,16,4e-05,0.004,0.226069416385144,0.01,22.6069416385144,22.6069416385144,0.0,0.0
S0090,17,4.2e-05,0.0042,0.2357595367357134,0.01,23.575953673571348,23.57595367357134,7.105427357601002e-15,3.0138451474674336e-16
S0090,18,4.5e-05,0.0045,0.2506029268261045,0.01,25.06029268261045,25.060292682610452,3.552713678800501e-15,1.4176664749273895e-16
S0090,19,4.7e-05,0.0046999999999999,0.2593893441371619,0.01,25.9389344137162,25.93893441371619,1.0658141036401503e-14,4.108935573993974e-16
S0090,20,5e-05,0.005,0.2728560357354581,0.01,27.285603573545814,27.285603573545806,7.105427357601002e-15,2.6040938909227283e-16
S0090,21,5.2e-05,0.0052,0.2806767588481307,0.01,28.06767588481307,28.06767588481307,0.0,0.0
S0090,22,5.5e-05,0.0055,0.2912730851676315,0.01,29.12730851676315,29.12730851676315,0.0,0.0
S0090,23,5.7e-05,0.0057,0.2953899675048888,0.01,29.53899675048888,29.538996750488877,3.552713678800501e-15,1.2027198177411703e-16
S0090,24,6e-05,0.006,0.299647421343252,0.01,29.964742134325206,29.9647421343252,7.105427357601002e-15,2.3712626411897584e-16
S0090,25,6.2e-05,0.0062,0.2990819921251386,0.01,29.908199212513864,29.908199212513857,7.105427357601002e-15,2.3757456298565867e-16
S0090,26,6.5e-05,0.0065,0.2969594206660986,0.01,29.69594206660986,29.69594206660986,0.0,0.0
S0090,27,6.7e-05,0.0067,0.2952559734694659,0.01,29.5255973469466,29.52559734694659,1.0658141036401503e-14,3.6097969199948186e-16
S0090,28,7e-05,0.0069999999999999,0.2943975268863141,0.01,29.43975268863141,29.43975268863141,0.0,0.0
S0090,29,7.2e-05,0.0072,0.2920836268458515,0.01,29.20836268458516,29.208362684585147,1.4210854715202004e-14,4.865337666702503e-16
S0090,30,7.5e-05,0.0074999999999999,0.2886884904000908,0.01,28.86884904000908,28.86884904000908,0.0,0.0
S0090,31,7.7e-05,0.0077,0.2821179223246872,0.01,28.211792232468724,28.211792232468717,7.105427357601002e-15,2.518601902017208e-16
S0090,32,8e-05,0.008,0.284379260847345,0.01,28.4379260847345,28.4379260847345,0.0,0.0
S0090,33,8.2e-05,0.0082,0.2775924804154783,0.01,27.759248041547835,27.759248041547828,7.105427357601002e-15,2.559661323306079e-16
S0090,34,8.4e-05,0.0084,0.2764971286524087,0.01,27.649712865240872,27.649712865240872,0.0,0.0
S0090,35,8.6e-05,0.0086,0.2686097286641598,0.01,26.860972866415977,26.860972866415977,0.0,0.0
S0090,36,8.8e-05,0.0087999999999999,0.2636931894812733,0.01,26.36931894812733,26.36931894812733,0.0,0.0
S0090,37,9e-05,0.009,0.2593241224531084,0.01,25.932412245310843,25.932412245310836,7.105427357601002e-15,2.7399793318054403e-16
S0090,38,9.2e-05,0.0092,0.2529610064812004,0.01,25.29610064812005,25.29610064812004,1.0658141036401503e-14,4.213353348273301e-16
S0090,39,9.4e-05,0.0093999999999999,0.2415713533991947,0.01,24.15713533991948,24.15713533991947,1.0658141036401503e-14,4.4120053501496953e-16
S0090,40,9.6e-05,0.0096,0.24103005125653,0.01,24.103005125653,24.103005125653,0.0,0.0
S0090,41,9.8e-05,0.0098,0.2378589560976252,0.01,23.78589560976252,23.78589560976252,0.0,0.0
S0090,42,0.0001,0.01,0.2307097456650808,0.01,23.070974566508085,23.070974566508077,7.105427357601002e-15,3.079812401126688e-16
S0090,43,0.000102,0.0101999999999999,0.2184738259529695,0.01,21.84738259529695,21.84738259529695,0.0,0.0
S0090,44,0.000104,0.0104,0.2191928069805726,0.01,21.919280698057264,21.91928069805726,3.552713678800501e-15,1.6208167264883755e-16
S0090,45,0.000106,0.0106,0.2157941344194114,0.01,21.579413441941146,21.57941344194114,7.105427357601002e-15,3.292687902160997e-16
S0090,46,0.000108,0.0107999999999999,0.2101983554894104,0.01,21.01983554894105,21.01983554894104,1.0658141036401503e-14,5.070515899891731e-16
S0090,47,0.00011,0.011,0.2041296102106571,0.01,20.412961021065712,20.41296102106571,3.552713678800501e-15,1.740420547089754e-16
S0090,48,0.000112,0.0112,0.1962040551006794,0.01,19.62040551006794,19.62040551006794,0.0,0.0
S0090,49,0.000114,0.0114,0.1952001766767352,0.01,19.520017667673528,19.52001766767352,7.105427357601002e-15,3.6400721959222767e-16
S0090,50,0.000116,0.0116,0.1901022624224424,0.01,19.010226242244244,19.01022624224424,3.552713678800501e-15,1.8688434495880502e-16
S0090,51,0.000118,0.0118,0.1854012516560033,0.01,18.54012516560033,18.54012516560033,0.0,0.0
S0090,52,0.00012,0.012,0.1813595881685614,0.01,18.135958816856142,18.13595881685614,3.552713678800501e-15,1.9589334728189253e-16
