case_id,step,threshold,count_above_threshold,fraction_above_threshold,notch_connected_count,largest_component_count,largest_component_fraction,x_min,x_max,y_min,y_max,x_span,y_span,centroid_x,centroid_y,comment
A,5,0.03,2,0.00036961744594344855,2,2,1.0,0.005021084565669298,0.005045945756137371,0.004998643882572651,0.005040077492594719,2.486119046807289e-05,4.1433610022068024e-05,0.005033515160903335,0.005019360687583685,Above-threshold set includes a notch-seeded connected component.
A,5,0.05,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,5,0.1,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,6,0.0001,3353,0.6196636481241915,3353,3353,1.0,0.00311293825507164,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.006862429901957512,0.009766224131453782,0.0069108367130263654,0.00496255352177518,Above-threshold set includes a notch-seeded connected component.
A,6,0.001,3236,0.5980410275364997,3236,3236,1.0,0.0035896804183721542,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.006385687738656998,0.009766224131453782,0.007020706777968553,0.004963568161695788,Above-threshold set includes a notch-seeded connected component.
A,6,0.005,2920,0.5396414710774349,2920,2920,1.0,0.004526229575276375,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.005449138581752777,0.009766224131453782,0.007308299754178535,0.0050293645166725395,Above-threshold set includes a notch-seeded connected component.
A,6,0.01,908,0.16780632045832564,824,824,0.9074889867841409,0.004659169353544712,0.009941400028765202,0.00011349347187206149,0.009861581027507782,0.0052822306752204895,0.00974808755563572,0.006190139810054149,0.0051965208019847655,Above-threshold set includes a notch-seeded connected component.
A,6,0.02,129,0.02384032526335243,129,129,1.0,0.004795464221388102,0.00563974492251873,0.004458637908101082,0.005566840525716543,0.0008442807011306286,0.0011082026176154613,0.005175488751901444,0.005014837762817394,Above-threshold set includes a notch-seeded connected component.
A,6,0.03,66,0.012197375716133801,66,66,1.0,0.00487818568944931,0.00540522113442421,0.0046469648368656635,0.005289619788527489,0.0005270354449748993,0.0006426549516618252,0.005118110118377389,0.004980866663214384,Above-threshold set includes a notch-seeded connected component.
A,6,0.05,13,0.0024025133986324155,13,13,1.0,0.005021084565669298,0.005154317244887352,0.004906844813376665,0.005091249942779541,0.00013323267921805382,0.0001844051294028759,0.005085790780587838,0.004992611348055876,Above-threshold set includes a notch-seeded connected component.
A,6,0.1,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
A,7,0.0001,3410,0.6301977453335798,3410,3410,1.0,0.00279206782579422,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.007183300331234932,0.009766224131453782,0.006859154285879429,0.004958107605401722,Above-threshold set includes a notch-seeded connected component.
A,7,0.001,3328,0.6150434300498984,3328,3328,1.0,0.00311293825507164,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.006862429901957512,0.009766224131453782,0.006936593497112671,0.004961418837743063,Above-threshold set includes a notch-seeded connected component.
A,7,0.005,3066,0.5666235446313066,3066,3066,1.0,0.004176098853349686,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.005799269303679466,0.009766224131453782,0.007180346952130397,0.005005136611490015,Above-threshold set includes a notch-seeded connected component.
A,7,0.01,2846,0.5259656255775272,2846,2846,1.0,0.004526229575276375,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.005449138581752777,0.009766224131453782,0.007365959998513412,0.005054539512364593,Above-threshold set includes a notch-seeded connected component.
A,7,0.02,342,0.0632045832563297,334,334,0.9766081871345029,0.004668529145419598,0.00988017488270998,0.00011349347187206149,0.006221921648830175,0.005211645737290382,0.006108428176958114,0.005516515497379659,0.004950660386278324,Above-threshold set includes a notch-seeded connected component.
A,7,0.03,138,0.025503603770097947,138,138,1.0,0.004795464221388102,0.005655575077980757,0.00440696906298399,0.005607393570244312,0.0008601108565926552,0.0012004245072603226,0.0051780588877643795,0.00501585867849813,Above-threshold set includes a notch-seeded connected component.
A,7,0.05,62,0.011458140824246904,62,62,1.0,0.00487818568944931,0.00540522113442421,0.004693159367889166,0.005289619788527489,0.0005270354449748993,0.0005964604206383228,0.005109434669476843,0.004981615918598348,Above-threshold set includes a notch-seeded connected component.
A,7,0.1,1,0.00018480872297172427,1,1,1.0,0.005021084565669298,0.005021084565669298,0.004998643882572651,0.004998643882572651,0.0,0.0,0.005021084565669298,0.004998643882572651,Above-threshold set includes a notch-seeded connected component.
A,8,0.0001,3383,0.6252079098133432,3383,3383,1.0,0.00279206782579422,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.007183300331234932,0.009766224131453782,0.006886523098930135,0.004960907417449105,Above-threshold set includes a notch-seeded connected component.
A,8,0.001,3320,0.6135649602661246,3320,3320,1.0,0.00311293825507164,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.006862429901957512,0.009766224131453782,0.006946862741802673,0.004966653090220012,Above-threshold set includes a notch-seeded connected component.
A,8,0.005,3143,0.5808538163001293,3143,3143,1.0,0.004151159897446632,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.0058242082595825195,0.009766224131453782,0.007112743317277292,0.005003516904662797,Above-threshold set includes a notch-seeded connected component.
A,8,0.01,2986,0.5518388467935686,2986,2986,1.0,0.004446978215128183,0.009975368157029152,0.00011349347187206149,0.009879717603325844,0.0055283899419009686,0.009766224131453782,0.007249994943890289,0.005021946913905528,Above-threshold set includes a notch-seeded connected component.
A,8,0.02,1674,0.3093698022546664,1674,1674,1.0,0.004613826051354408,0.009969426319003105,0.00011349347187206149,0.009861581027507782,0.005355600267648697,0.00974808755563572,0.006779831595186994,0.004938913706482904,Above-threshold set includes a notch-seeded connected component.
A,8,0.03,299,0.05525780816854556,293,293,0.979933110367893,0.00473250076174736,0.00988017488270998,0.00011349347187206149,0.006065656431019306,0.00514767412096262,0.005952162959147245,0.005479774713503776,0.004973924173562737,Above-threshold set includes a notch-seeded connected component.
A,8,0.05,113,0.02088338569580484,113,113,1.0,0.004795464221388102,0.005533353425562382,0.004458637908101082,0.005554733332246542,0.0007378892041742802,0.0010960954241454601,0.005134729878663753,0.004992755628561815,Above-threshold set includes a notch-seeded connected component.
A,8,0.1,33,0.006098687858066901,33,33,1.0,0.004939038772135973,0.0052723148837685585,0.004828140139579773,0.005203976295888424,0.0003332761116325855,0.00037583615630865097,0.005099808402133711,0.005010535277313355,Above-threshold set includes a notch-seeded connected component.
B,0,0.0001,2,0.00036961744594344855,0,2,1.0,0.007622172124683857,0.007887078449130058,0.0005578615237027407,0.0006948647787794471,0.0002649063244462013,0.0001370032550767064,0.007754625286906958,0.0006263631512410939,Above-threshold set is present but not connected to the notch seed window.
B,0,0.001,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,0,0.005,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,0,0.01,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,0,0.02,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,0,0.03,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,0,0.05,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,0,0.1,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,1,0.0001,62,0.011458140824246904,0,16,0.25806451612903225,0.004759480245411396,0.009894595481455326,0.0001418102765455842,0.009879717603325844,0.00513511523604393,0.00973790732678026,0.007807942640577112,0.0037117212501001514,Above-threshold set is present but not connected to the notch seed window.
B,1,0.001,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,1,0.005,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,1,0.01,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,1,0.02,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,1,0.03,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,1,0.05,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,1,0.1,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,2,0.0001,83,0.015339124006653115,0,43,0.5180722891566265,0.004467466846108437,0.009955729357898235,0.00011349347187206149,0.009855893440544605,0.005488262511789799,0.009742399968672544,0.007262087000691029,0.006892499140308082,Above-threshold set is present but not connected to the notch seed window.
B,2,0.001,13,0.0024025133986324155,0,9,0.6923076923076923,0.00550953671336174,0.00988017488270998,0.00011349347187206149,0.008836301974952221,0.00437063816934824,0.00872280850308016,0.008448477118061138,0.0030130367544748318,Above-threshold set is present but not connected to the notch seed window.
B,2,0.005,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,2,0.01,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,2,0.02,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,2,0.03,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,2,0.05,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,2,0.1,0,0.0,0,0,0.0,,,,,,,,,No elements above this threshold.
B,3,0.0001,346,0.06394381814821659,7,186,0.5375722543352601,0.004467466846108437,0.009975368157029152,0.00011349347187206149,0.009858266450464725,0.005507901310920715,0.009744772978592664,0.0082991291470072,0.0062978853360292865,Above-threshold set includes a notch-seeded connected component.
