group,case,seed,run_dir,step,Delta,strain,mechanics_current_energy_proxy,history_elastic_energy_proxy,fracture_energy_proxy,legacy_top_sigma_integral_N,diagnostics_reaction_N_tm_eff,saved_field_virtual_work_proxy_N,internal_cut_force_above_crack_N,internal_cut_force_below_crack_N,internal_cut_above_element_count,internal_cut_below_element_count,crack_band_interface_force_N,crack_band_interface_edge_count,alpha0p8_through_crack,alpha0p8_connected_count,alpha0p8_connected_min_x,alpha0p8_connected_max_x,alpha0p8_connected_mean_y,alpha0p8_connected_x_span,top_boundary_outward_fx_N,top_boundary_outward_fy_N,bottom_boundary_outward_fx_N,bottom_sigma_integral_outward_N,left_boundary_outward_fx_N,left_boundary_outward_fy_N,right_boundary_outward_fx_N,right_boundary_outward_fy_N,whole_boundary_residual_x_N,whole_boundary_residual_y_N,whole_boundary_residual_magnitude_N,saved_field_energy_fd_proxy_N,saved_field_history_energy_fd_proxy_N
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,7,3.5e-05,0.0034999999999999996,3.428774091836399e-08,3.456098209130874e-08,8.575085560321367e-09,0.6877238004177538,0.6877238750457764,-0.7361010087978155,0.873560056444347,1.0575936202957898,148,156,5.992721630862713,27,False,40,0.005021084565669298,0.0061364322900772095,0.005027747119311243,0.0011153477244079113,0.011894768303944115,0.6877238004177538,-0.006874840122605632,-1.1406289871670159,-0.040626693988100836,-0.005009582990312711,-0.1520776112511175,-0.013423657844639187,-0.18768437705787985,-0.47133842758421396,0.507331586547855,0.8801741061312904,0.924469464430477
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,8,4e-05,0.004,3.781144215988809e-08,3.8343743111696954e-08,1.2775909237514663e-08,0.6701765399544242,0.6701765060424805,-2.9465785305114482,0.790476496966299,1.006513548468189,148,152,8.650079213178223,43,False,62,0.005021084565669298,0.006823498290032148,0.005042375200578282,0.0018024137243628502,0.012301296679160013,0.6701765399544242,-0.009758427316693248,-1.1406658125213314,-0.043745164401268424,0.0009707955654261761,-0.6317808321601048,-0.01416673688460361,-0.6729831271989065,-0.48368521388608476,0.8287687709044346,0.4927408603002015,0.5625931098569747
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,9,4.5e-05,0.0045000000000000005,3.921514952136602e-08,4.018691318987849e-08,1.7172602468919034e-08,0.6897196215662094,0.6897196173667908,-6.195500022566741,0.6963110132122111,0.9117010938480047,147,151,11.83956691596694,61,False,92,0.005021084565669298,0.00791241880506277,0.005051495153052004,0.0028913342393934727,0.004114541629362022,0.6897196215662094,-0.006564908335910645,-1.1409798633616433,-0.04844920145693196,0.0032318998997271455,-1.2092581292645534,-0.012001746384703324,-1.2601576974280342,-0.46003008828041003,1.3415010639244407,0.10614402993354248,0.21033971591893214
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,10,4.7e-05,0.004699999999999999,3.9287759627343465e-08,4.0480957181942445e-08,1.8710994715735322e-08,0.7131088285804633,0.7131088376045227,-7.978900490743485,0.6550831892364916,0.8758575242949617,147,150,13.610429405616596,65,False,98,0.005021084565669298,0.008169160224497318,0.0050540897729141375,0.00314807565882802,0.00806055323189839,0.7131088285804633,0.00105079005265154,-1.1435445206856414,-0.047569315995987696,0.002066394897508179,-1.4202220446951022,-0.011387770399026541,-1.45868001740654,-0.43975706760669653,1.5235267216859651,-0.01823949092681111,0.09380333305263056
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,11,4.9e-05,0.0049,3.914219155765878e-08,4.056212652208901e-08,2.0123006085310365e-08,0.7150322508260157,0.7150322198867798,-10.017037856168596,0.6148610576866735,0.833816815180344,148,151,14.133997224418168,75,False,112,0.005021084565669298,0.008592769503593445,0.005063980892633221,0.0035716849379241467,-0.0018965121366351931,0.7150322508260157,0.002961528243684906,-1.1426251078806784,-0.04919604710777634,-0.0002565469926763705,-1.5390830980274162,-0.011408553038295573,-1.5872141290281427,-0.4392579570856344,1.6468746899049758,-0.15061443841029448,-0.02327725664955267
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,12,5.1e-05,0.0050999999999999995,3.868530187370228e-08,4.0387848155344236e-08,2.1444212933883713e-08,0.7128582664111426,0.712858259677887,-12.23308953483698,0.5595793652266118,0.8238298486428227,148,151,14.95642857281881,82,False,123,0.005021084565669298,0.008982125669717789,0.005069670259831398,0.0039610411040484905,0.0016124844723129786,0.7128582664111426,0.005585765185326596,-1.138421916985044,-0.052591990306697,-0.0012629992990522351,-1.8463379208854935,-0.010135593585008146,-1.891731661534551,-0.43696224345796175,1.9415418309838417,-0.3202980915640169,-0.13205261188417755
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,13,5.3e-05,0.0053,3.7860999191402705e-08,4.00339160745523e-08,2.2585660889606728e-08,0.7155696064505835,0.7155696153640747,-14.832742213549441,0.5620904427131704,0.7777756023004477,149,150,17.536562637732814,90,False,133,0.005021084565669298,0.009401872754096985,0.005079919129217926,0.004380788188427687,-0.009098048279164108,0.7155696064505835,0.0012473699335295394,-1.1385349486078222,-0.05862991801325738,0.0025037190530733037,-2.0751185244246475,-0.005439742353776315,-2.1415991207835394,-0.4259013654579419,2.1835381304753456,-0.3962776814245249,-0.17493139628655363
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,14,5.5e-05,0.0055,3.7100191148004184e-08,3.968812257019802e-08,2.3382333236002964e-08,0.7072629693601249,0.7072629928588867,-17.608340665019888,0.5254807156245351,0.755542192364614,149,151,17.121053554909984,96,True,151,0.005021084565669298,0.009910179302096367,0.005091150297431756,0.004889094736427069,-0.022055996307380567,0.7072629693601249,0.010623559037457887,-1.1384535236977151,-0.05599861041118257,0.004701475336882131,-2.29489417723938,-0.007352855941301417,-2.362325224920485,-0.4338419349420095,2.4018324864173706,-0.25567347467117874,-0.1384619672799639
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,15,5.7e-05,0.0057,3.6838305292717993e-08,3.9480068205432445e-08,2.3812387551410067e-08,0.704153397087716,0.7041534185409546,-20.22730336295359,0.5167668867237216,0.7395267790617088,149,152,17.749316735153688,94,True,154,0.005021084565669298,0.009951230138540268,0.005093268980574492,0.00493014557287097,-0.02323573674762644,0.704153397087716,0.0022098205690368007,-1.1385755566375482,-0.058079079387981035,0.000578562829306161,-2.5765168534571563,-0.021553876344618195,-2.655621849023727,-0.4553974730651441,2.6943856931564785,-0.23737530417944874,-0.0914128427035605
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,16,5.9e-05,0.0059,3.6150689931286395e-08,3.932247119938379e-08,2.413056514529206e-08,0.6886949317820551,0.6886948943138123,-23.434065092073947,0.464520094852992,0.7377737244447313,149,153,19.821265127082885,95,True,153,0.005021084565669298,0.009951230138540268,0.00509441680780131,0.00493014557287097,-0.023532335797494693,0.6886949317820551,0.013494139190814521,-1.1384612583042242,-0.055828711076638664,0.0024175970864124176,-2.7879275037796005,-0.030062529063828742,-2.853794411462919,-0.47741125849958543,2.8934519267890293,-0.31032832325581305,-0.06774209893191906
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,17,6.1e-05,0.0060999999999999995,3.5596991999694746e-08,3.9209099809704773e-08,2.4345087734434368e-08,0.692692500707405,0.6926925182342529,-26.84778182860828,0.47605757406332483,0.7168540054763278,149,152,20.054457265542815,95,True,155,0.005021084565669298,0.009951230138540268,0.005093097407370806,0.00493014557287097,-0.018366344117147583,0.692692500707405,0.016825561924875023,-1.1422030501676737,-0.054703253798103785,0.001346371733744627,-2.9735632559460576,-0.04118412717689783,-3.029807291936434,-0.48934830490342196,3.069070541675939,-0.19605453589022562,-0.045545871830166354
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,18,6.3e-05,0.0063,3.5366471787725495e-08,3.9140287712063125e-08,2.448810991122388e-08,0.6808298386039698,0.6808297634124756,-30.131356991637215,0.4506151333770924,0.6644892103458123,149,154,18.335240565500214,99,True,159,0.005021084565669298,0.009951230138540268,0.0050958913030489435,0.00493014557287097,-0.02594514957511022,0.6808298386039698,0.024444953023560825,-1.1422872522828458,-0.05594666824548095,0.001420249996538381,-3.167909446280404,-0.06112862300543344,-3.225356311077434,-0.5211657866877711,3.2671910122643455,-0.2824903417332006,-0.030085746280005682
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,19,6.5e-05,0.0065,3.446703063276195e-08,3.908875682458475e-08,2.4585260613936278e-08,0.7012043757700963,0.7012044191360474,-34.4831081097568,0.4614761935748801,0.6279183321980968,149,154,17.105363804310496,102,True,161,0.005021084565669298,0.009958948940038681,0.005096363939159776,0.004937864374369383,-0.029389185535233904,0.7012043757700963,0.01013472524851549,-1.1359163110009445,-0.06229004301562183,0.001010800578231064,-3.3298967020039854,-0.07021240943761299,-3.4114412053063257,-0.5039135440902303,3.448457620035289,-0.3344213684007991,-0.02523503234380664
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,20,6.7e-05,0.0067,3.4028786314122305e-08,3.9039347582687905e-08,2.468335481630531e-08,0.7002755900550559,0.7002755999565125,-38.275005251089766,0.4254621672641046,0.6663925110559927,149,154,15.087276357259874,102,True,163,0.005021084565669298,0.009958948940038681,0.005097504450933882,0.004937864374369383,-0.04008489589048589,0.7002755900550559,0.005222604778845869,-1.1233440918531452,-0.05764428644961509,0.006249530945966275,-3.586109999678785,-0.05842119413629704,-3.67861657724004,-0.47524016498842014,3.709187665347151,-0.18029700910343616,-0.01663141325232778
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,21,6.9e-05,0.0069,3.37458425963482e-08,3.902223117157543e-08,2.4731096108015447e-08,0.7261497185135061,0.7261497378349304,-42.15222135941872,0.43857790797543733,0.5923961772714953,149,154,15.32619817250575,103,True,162,0.005021084565669298,0.009958948940038681,0.005098614654860195,0.004937864374369383,-0.03028377157159228,0.7261497185135061,0.013411548957060353,-1.1249771229408436,-0.06428753000138526,0.005509199464731846,-3.8494958918708972,-0.062400603317084566,-3.9306556444868144,-0.45571880827969025,3.9569853964547197,-0.17698011480803827,-0.011774279119544304
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,22,7.1e-05,0.0071,3.3320865854890155e-08,3.899225046620973e-08,2.4786785792786912e-08,0.7216868306905438,0.721686840057373,-46.208297055391824,0.41797046834242824,0.5297337276909613,149,154,14.856000777277849,102,True,163,0.005021084565669298,0.009958948940038681,0.005097504450933882,0.004937864374369383,-0.0358939251541053,0.7216868306905438,0.02526408936287604,-1.1186635239804779,-0.05469612341050802,0.006641823604098112,-4.118386024049231,-0.09495038862783052,-4.183711983250968,-0.4852852583136663,4.211763020486114,-0.3335018612441957,-0.01335807111741208
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,23,7.3e-05,0.0073,3.2411835151371415e-08,3.8968798887105776e-08,2.4839696899172135e-08,0.7347203069397402,0.7347202301025391,-51.1933978674549,0.39584008426730666,0.5142487696020902,149,154,14.630771961403624,102,True,163,0.005021084565669298,0.009958948940038681,0.005097504450933882,0.004937864374369383,-0.025052512715850246,0.7347203069397402,0.01688543075183021,-1.1296297038650118,-0.05853182589274652,-0.002467826132531085,-4.327332014166328,-0.09178313004940149,-4.394030922023094,-0.48916035310720407,4.421174684939183,-0.3491502519142719,-0.005001570248063317
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,24,7.5e-05,0.007499999999999999,3.192426484723307e-08,3.897224418521748e-08,2.48504851111929e-08,0.7544236570216236,0.7544235587120056,-55.645829463816355,0.4239873266098593,0.5434182279277641,149,154,14.556550734100773,102,True,163,0.005021084565669298,0.009958948940038681,0.005097504450933882,0.004937864374369383,-0.0394241228049185,0.7544236570216236,0.008692116533252484,-1.1343289359195667,-0.06073537918779639,0.003877882588486025,-4.575064850428878,-0.10271433866929092,-4.66653223588834,-0.47874173497874817,4.691025128625458,-0.21472999417939537,-0.005003709465725703
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,25,7.7e-05,0.0077,3.155291517465384e-08,3.894878404924288e-08,2.4898879893816143e-08,0.7680470429742193,0.7680469751358032,-59.86387244013153,0.4399947384094882,0.5379000635054433,149,154,15.169077053102239,103,True,162,0.005021084565669298,0.009958948940038681,0.005098614654860195,0.004937864374369383,-0.0541967984295256,0.7680470429742193,0.005976210127063221,-1.079989076893743,-0.05631038938201416,-0.0017625238618036731,-4.704675472480371,-0.08639990024583646,-4.809206450164848,-0.4001044580271639,4.8258212003389005,-0.10387711732772441,-0.00745611740449615
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,26,8e-05,0.008,3.160937355799917e-08,3.8945648474652e-08,2.492074048219542e-08,0.7712236651020162,0.7712236046791077,-65.39945821001041,0.4451283742283059,0.5536566927854353,149,154,14.734623594298572,102,True,163,0.005021084565669298,0.009958948940038681,0.005097504450933882,0.004937864374369383,-0.06986659159738898,0.7712236651020162,-0.0017899416487764828,-1.1164007293888145,-0.06098216865636308,-0.0013130788099066414,-4.956028962845526,-0.13757021981666248,-5.088667664748054,-0.4840603629133674,5.111638977587935,-0.13296898426670872,0.0006668839607724963
D0020,D0020_seed7_default_unitbox,7,D:\ProgramData\PINN\FEM-PINN-main\examples\TM_comsol_no_thermal_micro\results\full_hl_8_Neurons_400_activation_TrainableReLU_coeff_3.0_Seed_7_PFFmodel_AT2_l0_0.00015_comsolMicroNoThermal_mixedH_TM_split_tm_source_mech_history_tmEpsR_1em05_topUfree_coordUnitBox_gradient_numerical_full_D0020_seed7_history_default_unitbox,27,8.3e-05,0.0083,3.075510126905359e-08,3.895278535300752e-08,2.4936929461563014e-08,0.7906915984136228,0.790691614151001,-72.8105893720894,0.47060424842446963,0.5443052556968173,149,154,13.980745890370324,102,True,163,0.005021084565669298,0.009958948940038681,0.005097504450933882,0.004937864374369383,-0.035404349697344684,0.7906915984136228,0.016645127359711086,-1.1032223404771768,-0.05625179099815668,0.0040972882630164855,-5.212735007844028,-0.11076213206303238,-5.287746021179818,-0.41919558586356975,5.304336237806809,-0.25079222993953065,0.00023136108167048225
