case,step,Delta,alpha_min,alpha_mean,alpha_std,alpha_max,alpha_gt_0p5_area_fraction,He_current_mean,He_current_std,He_current_max,He_history_mean,He_history_std,He_history_max,mechanics_drive_mean,mechanics_drive_std,mechanics_drive_max,max_He_current_x,max_He_current_y,max_He_history_x,max_He_history_y,max_mechanics_drive_x,max_mechanics_drive_y,notch_tip_alpha_max,notch_tip_alpha_mean,bulk_alpha_mean,bulk_alpha_p95,bottom_right_alpha_max,bottom_right_alpha_mean,notch_tip_He_current_max,notch_tip_He_current_mean,bulk_He_current_p95,bulk_He_current_mean,bottom_right_He_current_max,bottom_right_He_current_mean,notch_tip_mechanics_drive_max,notch_tip_mechanics_drive_mean,bulk_mechanics_drive_p95,bulk_mechanics_drive_mean,bottom_right_mechanics_drive_max,bottom_right_mechanics_drive_mean,bulk_He_current_p95_over_notch_tip_He_current_max,bottom_right_He_current_max_over_notch_tip_He_current_max,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max,He_current_ratio_denominator_valid,mechanics_drive_ratio_denominator_valid,bulk_He_current_p95_over_notch_tip_He_current_max_valid,bottom_right_He_current_max_over_notch_tip_He_current_max_valid,bulk_mechanics_drive_p95_over_notch_tip_mechanics_drive_max_valid,bottom_right_mechanics_drive_max_over_notch_tip_mechanics_drive_max_valid,bulk_alpha_mean_over_notch_tip_alpha_max,bottom_right_alpha_max_over_notch_tip_alpha_max,reaction_N_tm_eff,elastic_energy,fracture_energy,loss_total,loss_log10,top_u_mode,top_u_abs_max,top_v_error_max,bottom_u_abs_max,bottom_v_abs_max,bottom_right_He_current_p95,bottom_right_alpha_p95,bottom_right_mechanics_drive_p95,bottom_u_max,bottom_u_mean,bottom_u_min,bottom_v_max,bottom_v_mean,bottom_v_min,bulk_He_current_max,bulk_alpha_max,bulk_mechanics_drive_max,macro_strain,macro_stress,max_He_current,max_He_history,max_mechanics_drive,notch_tip_He_current_p95,notch_tip_alpha_p95,notch_tip_mechanics_drive_p95,top_u_max,top_u_mean,top_u_min,top_v_abs_max,top_v_max,top_v_mean,top_v_min
seed7_default_unitbox,0,1e-06,-0.00017775638843886554,-3.467340478307517e-05,3.246631965122718e-05,0.00014446179557126015,0.0,4.1510390680278547e-07,8.057112555411953e-07,4.346950663602911e-05,4.1510390680278547e-07,8.057112555411953e-07,4.346950663602911e-05,4.1510390680278547e-07,8.057112555411953e-07,4.346950663602911e-05,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,-3.0047893233131617e-05,-5.556496229199756e-05,-3.283836127359305e-05,-3.272978756285745e-06,6.9345798692666e-05,6.76603740430437e-05,4.346950663602911e-05,3.752209472967832e-06,8.540193732642361e-07,3.7811208647627184e-07,1.4618997283832869e-06,1.2761393008986488e-06,4.346950663602911e-05,3.752209472967832e-06,8.540193732642361e-07,3.7811208647627184e-07,1.4618997283832869e-06,1.2761393008986488e-06,0.019646401336342607,0.0336304651585719,0.019646401336342607,0.0336304651585719,True,True,0.019646401336342607,0.0336304651585719,0.019646401336342607,0.0336304651585719,1.0928673441033327,-2.3078422887965884,0.037240199744701385,3.6018632521006566e-11,1.2220205739926467e-15,3.601985454158056e-11,-10.443458045317609,free,3.7302004329831107e-07,0.0,0.0,0.0,1.443323685634823e-06,6.917725622770376e-05,1.443323685634823e-06,0.0,0.0,0.0,0.0,0.0,0.0,3.164912186548463e-06,3.349566395627335e-05,3.164912186548463e-06,nan,nan,4.346950663602911e-05,4.346950663602911e-05,4.346950663602911e-05,8.301461457449466e-06,-3.5479072539601486e-05,8.301461457449466e-06,1.8169598092754313e-07,1.0625896740279473e-08,-3.7302004329831107e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07
seed7_default_unitbox,1,5e-06,-0.00020386968390084803,0.0006527929949925616,0.0010534756952903241,0.0040043992921710014,0.0,1.219183148632548e-05,2.3610386938012023e-05,0.001271507004275918,1.2191831502651262e-05,2.36103869295818e-05,0.001271507004275918,1.2191831502651262e-05,2.36103869295818e-05,0.001271507004275918,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,-1.9461951524135657e-05,-5.398703996596016e-05,0.0006371069109534831,0.002747901424299925,0.0040043992921710014,0.003947536344639957,0.001271507004275918,0.00011066627377521687,2.508827519704937e-05,1.1112787862440601e-05,3.6426150472834706e-05,3.305587324575754e-05,0.001271507004275918,0.00011066627377521687,2.508827519704937e-05,1.1112787862440601e-05,3.6426150472834706e-05,3.305587324575754e-05,0.019731134089455,0.028648014010412958,0.019731134089455,0.028648014010412958,True,True,0.019731134089455,0.028648014010412958,0.019731134089455,0.028648014010412958,-32.73602393693036,-205.75528035844516,0.19506773352622986,1.0477816392295836e-09,1.7352510487539385e-12,1.0495168902783375e-09,-8.97901056775747,free,1.4326601558423135e-06,0.0,0.0,0.0,3.608912275012699e-05,0.003998712997417897,3.608912275012699e-05,0.0,0.0,0.0,0.0,0.0,0.0,9.723458788357675e-05,0.003945082426071167,9.723458788357675e-05,nan,nan,0.001271507004275918,0.001271507004275918,0.001271507004275918,0.00024008323089219595,-2.286149829160422e-05,0.00024008323089219595,8.410186751461879e-07,5.694782174714419e-08,-1.4326601558423135e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06
seed7_default_unitbox,2,1e-05,-0.00045315513852983713,0.005827201071254251,0.006306089535580869,0.040650349110364914,0.0,5.028804744262684e-05,0.00010173900438780966,0.005507545545697212,5.028805151414542e-05,0.0001017390023755408,0.005507545545697212,5.028805151414542e-05,0.0001017390023755408,0.005507545545697212,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.040650349110364914,0.031879095870950454,0.005625737521988265,0.013622285239398473,0.015771230682730675,0.01547242235392332,0.005507545545697212,0.000480048138591858,0.00010413430718472224,4.553769843546485e-05,0.00014542770804837346,0.0001330035702267196,0.005507545545697212,0.000480048138591858,0.00010413430718472224,4.553770170868043e-05,0.00014542770804837346,0.0001330035702267196,0.01890757077189811,0.02640517574330172,0.01890757077189811,0.02640517574330172,True,True,0.01890757077189811,0.02640517574330172,0.01890757077189811,0.02640517574330172,0.13839333843639315,0.38797282256819215,0.38104313611984253,4.198503322783154e-09,4.454600577297185e-11,4.2430493285561255e-09,-8.372321919212599,free,2.8052879770257277e-06,0.0,0.0,0.0,0.00014418529426620807,0.01574134984984994,0.00014418529426620807,0.0,0.0,0.0,0.0,0.0,0.0,0.0004120271187275648,0.0346435010433197,0.0004120271187275648,nan,nan,0.005507545545697212,0.005507545545697212,0.005507545545697212,0.0010479331482201799,0.039913801848888396,0.0010479331482201799,1.6341833770638914e-06,8.620982399065724e-08,-2.8052879770257277e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06,9.999999747378752e-06
seed7_default_unitbox,3,1.5e-05,-0.0006462835008278489,0.013314234398409772,0.015337170689576197,0.12968692183494568,0.0,0.00011620915183459717,0.0002616210364070468,0.014332219026982784,0.00011620920514033095,0.0002616210127779987,0.014332219026982784,0.00011620920514033095,0.0002616210127779987,0.014332219026982784,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.12968692183494568,0.08946770358167283,0.012601803237029219,0.03026840705424547,0.03569682687520981,0.0350485909730196,0.014332219026982784,0.0012423539472315684,0.00023759938703733487,0.00010342883910030446,0.0003318558447062969,0.0003047624632017687,0.014332219026982784,0.0012423539472315684,0.00023759938703733487,0.00010342889527491247,0.0003318558447062969,0.0003047624632017687,0.016577990232357915,0.023154533438368693,0.016577990232357915,0.023154533438368693,True,True,0.016577990232357915,0.023154533438368693,0.016577990232357915,0.023154533438368693,0.09717096418610126,0.27525386808580166,0.5324371457099915,9.247317578342518e-09,2.299145318573892e-10,9.477232110199907e-09,-8.023318482787177,free,4.308794359531021e-06,0.0,0.0,0.0,0.0003291465065558441,0.03563200328499079,0.0003291465065558441,0.0,0.0,0.0,0.0,0.0,0.0,0.0010108723072335124,0.0867270827293396,0.0010108723072335124,nan,nan,0.014332219026982784,0.014332219026982784,0.014332219026982784,0.002793792169541116,0.12459386885166167,0.002793792169541116,2.3884547317720717e-06,9.26847349091986e-08,-4.308794359531021e-06,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05,1.4999999621068127e-05
seed7_default_unitbox,4,2e-05,-0.0008742508362047374,0.02398732662098603,0.03144411398008138,0.33915194869041443,0.0,0.0002213683435927448,0.0007336446543664972,0.042940184473991394,0.00022136872393269992,0.0007336445428429163,0.042940184473991394,0.00022136872393269992,0.0007336445428429163,0.042940184473991394,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.33915194869041443,0.2014058238431199,0.022151821557174135,0.05248808525502668,0.0634993463754654,0.062305960804224014,0.042940184473991394,0.0032365477894155162,0.0004371800081571562,0.000184963559751842,0.0006045633344911039,0.0005550104542635381,0.042940184473991394,0.0032365477894155162,0.0004371800081571562,0.00018496397474471125,0.0006045633344911039,0.0005550104542635381,0.010181139497012489,0.014079197420711693,0.010181139497012489,0.014079197420711693,True,True,0.010181139497012489,0.014079197420711693,0.010181139497012489,0.014079197420711693,0.06531533031937499,0.1872297848225812,0.641079843044281,1.5785152740477315e-08,7.727337658636202e-10,1.6557886506340935e-08,-7.780995098542167,free,5.944989879935747e-06,0.0,0.0,0.0,0.0005996080464683474,0.06338000781834126,0.0005996080464683474,0.0,0.0,0.0,0.0,0.0,0.0,0.0018473656382411718,0.1869729459285736,0.0018473656382411718,nan,nan,0.042940184473991394,0.042940184473991394,0.042940184473991394,0.008109253831207744,0.32501059174537655,0.008109253831207744,3.090581458309316e-06,8.95600862804713e-08,-5.944989879935747e-06,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05,1.9999999494757503e-05
seed7_default_unitbox,5,2.5e-05,-0.000834027654491365,0.038921430654913686,0.06687988106442894,0.8747787475585938,0.005913879135095177,0.0006070591650727006,0.006977580446908679,0.3645032048225403,0.000607429521602896,0.006977590871848849,0.3645032048225403,0.000607429521602896,0.006977590871848849,0.3645032048225403,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.8747787475585938,0.43046842933925866,0.03453110056764694,0.08384181894361971,0.0941598117351532,0.09244439005851746,0.3645032048225403,0.02332758601954843,0.000715139324893243,0.00030587010278534975,0.0009257846977561712,0.0008518354152329266,0.3645032048225403,0.023338084392740363,0.0007165114569943397,0.0003061287365938843,0.0009257846977561712,0.0008518354152329266,0.0019619562062325657,0.0025398533826524045,0.001965720595908549,0.0025398533826524045,True,True,0.0019619562062325657,0.0025398533826524045,0.001965720595908549,0.0025398533826524045,0.03947409635181381,0.10763843085802248,0.6861076354980469,2.2599376592324916e-08,2.4414483767998263e-09,2.5040824969124742e-08,-7.60135136740902,free,7.649419785593636e-06,0.0,0.0,0.0,0.0009183897695038467,0.09398826956748962,0.0009183897695038467,0.0,0.0,0.0,0.0,0.0,0.0,0.02393132820725441,0.5736688375473022,0.02393132820725441,nan,nan,0.3645032048225403,0.3645032048225403,0.3645032048225403,0.1411981254816055,0.8229749798774719,0.1411981254816055,3.41624763677828e-06,1.416541721255271e-07,-7.649419785593636e-06,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05,2.499999936844688e-05
seed7_default_unitbox,6,3e-05,-0.0008671106188558042,0.054407317330406574,0.09245857361071415,1.000199794769287,0.010718905932360008,0.001949487627514203,0.032682512105392914,1.1544747352600098,0.001955321378624544,0.03268383556303138,1.1544747352600098,0.001955321378624544,0.03268383556303138,1.1544747352600098,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,1.000199794769287,0.5016238158696318,0.049845685304223473,0.12437711656093595,0.12689442932605743,0.12472056224942207,1.1544747352600098,0.1024169478401895,0.0010726155538577583,0.0006073505722284943,0.0013018359895795584,0.001200979226268828,1.1544747352600098,0.10272036041700232,0.0010744314349722091,0.0006093179992462549,0.0013018359895795584,0.001200979226268828,0.0009290940036173116,0.001127643550628555,0.0009306669103765416,0.001127643550628555,True,True,0.0009290940036173116,0.001127643550628555,0.0009306669103765416,0.001127643550628555,0.049835728386368267,0.12686908154718005,0.6936549544334412,2.9099048504122038e-08,5.042765760521206e-09,3.4141814264643244e-08,-7.466713404598318,free,9.216432772518601e-06,0.0,0.0,0.0,0.0012917503132484852,0.1266770426183939,0.0012917503132484852,0.0,0.0,0.0,0.0,0.0,0.0,0.2050696760416031,0.9018112421035767,0.2050696760416031,nan,nan,1.1544747352600098,1.1544747352600098,1.1544747352600098,0.6834970593452444,0.9616312026977539,0.6834970593452444,3.624728833528934e-06,2.4659537132265543e-07,-9.216432772518601e-06,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05,2.9999999242136255e-05
seed7_default_unitbox,7,3.5e-05,-0.0011003160616382957,0.06987662558423981,0.11512743464953774,1.0004754066467285,0.017002402513398632,0.0047553753596926,0.0801770017219458,2.52828049659729,0.004781784894552351,0.08021585454813684,2.52828049659729,0.004781784894552351,0.08021585454813684,2.52828049659729,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,0.005021084565669298,0.004998643882572651,1.0004754066467285,0.5176489121497494,0.06587769700813122,0.17115590274333933,0.1592034101486206,0.15587519109249115,2.52828049659729,0.2500148786547134,0.0014285316108725954,0.0015181175786381433,0.0016819728771224618,0.0015484138275496662,2.52828049659729,0.2515622697087752,0.0014425420900806764,0.0015243722013449537,0.0016819728771224618,0.0015484138275496662,0.0005650210143989949,0.0006652635573411101,0.0005705625194760372,0.0006652635573411101,True,True,0.0005650210143989949,0.0006652635573411101,0.0005705625194760372,0.0006652635573411101,0.06584639319514314,0.15912775975395455,0.6877238750457764,3.456097985576889e-08,8.575085530537763e-09,4.3136065386306655e-08,-7.365159471170086,free,1.042797612171853e-05,0.0,0.0,0.0,0.0016686169721651823,0.15887058824300765,0.0016686169721651823,-0.0,0.0,-0.0,0.0,0.0,0.0,0.8825242519378662,0.9836724996566772,0.8825242519378662,nan,nan,2.52828049659729,2.52828049659729,2.52828049659729,1.840707826614378,0.9855528354644776,1.840707826614378,3.520347718222183e-06,3.241625350369759e-07,-1.042797612171853e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05,3.5000000934815034e-05
seed7_default_unitbox,8,4e-05,-0.0012596524320542812,0.08503486322635415,0.13720019344569206,1.0007818937301636,0.024949177601182777,0.00979484945993656,0.15873768863170634,4.842612266540527,0.00982406727192017,0.15873756432000521,4.842612266540527,0.00982406727192017,0.15873756432000521,4.842612266540527,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,1.0007818937301636,0.5245515351017861,0.08153207614129344,0.24425559118390058,0.18354688584804535,0.17920337617397308,4.842612266540527,0.47755164562671504,0.0019642039085738324,0.0037349664536523346,0.0020181122235953808,0.0018448493210598826,4.842612266540527,0.4786148563841492,0.001984374341554938,0.003751795242167895,0.0020181122235953808,0.0018448493210598826,0.00040560833708394817,0.0004167404104473313,0.00040977353385604384,0.0004167404104473313,True,True,0.00040560833708394817,0.0004167404104473313,0.00040977353385604384,0.0004167404104473313,0.08146837652847923,0.18340348381396104,0.6701765060424805,3.834374240341276e-08,1.2775909219442383e-08,5.1119651622855145e-08,-7.291412114528591,free,1.0833398846443743e-05,0.0,0.0,0.0,0.002000785933341831,0.1831125348806381,0.002000785933341831,-0.0,0.0,-0.0,0.0,0.0,0.0,2.2845065593719482,1.0005080699920654,2.2845065593719482,nan,nan,4.842612266540527,4.842612266540527,4.842612266540527,3.8286491394042916,0.9935449481010437,3.8286491394042916,3.64700599675416e-06,5.694809914302823e-07,-1.0833398846443743e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05,3.9999998989515007e-05
seed7_default_unitbox,9,4.5e-05,-0.0015043127350509167,0.09809196024057384,0.1581347798668727,1.000997543334961,0.034559231195712435,0.017022282812813108,0.25220428922980637,7.250380516052246,0.017062995600747394,0.25220237367301407,7.250380516052246,0.017062995600747394,0.25220237367301407,7.250380516052246,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,0.005045945756137371,0.005040077492594719,1.000997543334961,0.5287643148474497,0.09441376166901376,0.33774005770683285,0.1941155046224594,0.18807785958051682,7.250380516052246,0.7435038028331061,0.002520969742909072,0.007836727660565338,0.0021146340295672417,0.00192089012125507,7.250380516052246,0.7442781570616094,0.002640517940744756,0.007870975924411728,0.0021146340295672417,0.00192089012125507,0.0003477017154241324,0.00029165835157002725,0.00036419025662152277,0.00029165835157002725,True,True,0.0003477017154241324,0.00029165835157002725,0.00036419025662152277,0.00029165835157002725,0.0943196737071515,0.19392205896503695,0.6897196173667908,4.0186911576256534e-08,1.7172602895243472e-08,5.7359514471500006e-08,-7.241394533477648,free,1.017994054564042e-05,0.0,0.0,0.0,0.0020952596387360245,0.19351174011826516,0.0020952596387360245,-0.0,0.0,-0.0,0.0,0.0,0.0,3.794832944869995,1.0007567405700684,3.794832944869995,nan,nan,7.250380516052246,7.250380516052246,7.250380516052246,5.929727554321285,0.9962812542915345,5.929727554321285,3.592750545067247e-06,8.109132181743916e-07,-1.017994054564042e-05,4.5000000682193786e-05,4.5000000682193786e-05,4.5000000682193786e-05,4.5000000682193786e-05
